name,company,phase,phone,email,website,address,city,state,zip,notes
Habitat Invest,Habitat Invest,Nao contactado,+351 213 461 024,info@habitatinvest.pt,https://habitatinvest.pt,"Rua da Moeda, n.º 4, 1200-275 Lisboa",Lisboa,Lisboa,,"Perfil: Investimento, promoção, gestão e mediação imobiliária | Notas: Muito ativa em reabilitação e promoção residencial em Lisboa. | Fontes: turn8search4; turn8search12"
Libertas,Libertas,Nao contactado,+351 213 254 107,info@libertas.pt,https://libertas.pt,"Avenida da Liberdade, 129B, sala 1, 1250-140 Lisboa",Lisboa,Lisboa,,Perfil: Promoção imobiliária | Notas: Marca histórica do setor imobiliário em Portugal. | Fontes: turn8search19; turn8search3
VIC Properties,VIC Properties,Nao contactado,+351 212 495 220,info@vic-properties.com,https://www.vic-properties.com,"Avenida Dom João II, Edifício Mythos, 42, 3.04, Parque das Nações, 1990-095 Lisboa",Lisboa,Lisboa,,"Perfil: Promoção imobiliária premium | Notas: Projetos residenciais e de uso misto em Lisboa, Porto e Algarve. | Fontes: turn8search6; turn8search14"
REVITO,REVITO,Nao contactado,+351 930 517 719,geral@revito.pt,https://www.revito.pt,"Edifício Tower Plaza, Rotunda Eng. Edgar Cardoso 23, piso 4, sala F, 4400-676 Vila Nova de Gaia",Vila Nova de Gaia,Porto,,Perfil: Promoção imobiliária residencial | Notas: Empreendimentos habitacionais com presença no Porto e Algarve. | Fontes: turn12search29; turn12search13
Metathesis,Metathesis,Nao contactado,+351 211 650 420,geral@metathesis.pt,https://metathesis.pt,"Rua Marcos de Assunção, n.º 4A, 2805-290 Almada",Almada,Lisboa,,Perfil: Promoção e reabilitação urbana | Notas: Promotora com foco em regeneração urbana e projetos residenciais. | Fontes: turn12search24; turn14search1; turn12search32
Grupo Acrescentar,Grupo Acrescentar,Nao contactado,+351 253 685 109,acrescentar@grupoacrescentar.pt,https://grupoacrescentar.pt,"Rua Quinta dos Lagos, 24, 4700-289 Real, Braga",Braga,Braga,,Perfil: Construção e promoção imobiliária | Notas: Grupo com operação no Norte de Portugal em construção e desenvolvimento. | Fontes: turn12search1; turn12search17; turn12search9
Novandar - Empreendimentos Imobiliários,Novandar - Empreendimentos Imobiliários,Nao contactado,+351 229 387 242,geral@novandar.com,https://novandar.pt,"Av. da República, n.º 679, 7.º andar, salas 71 e 72, 4450-242 Matosinhos",Matosinhos,Porto,,"Perfil: Construção, compra, venda e promoção de imóveis | Notas: Atua no desenvolvimento e promoção de empreendimentos habitacionais. | Fontes: turn15search1; turn15search6; turn15search11"
AMA Grupo Imobiliário,AMA Grupo Imobiliário,Nao contactado,+351 965 821 957; +351 912 531 490,info@ama.com.pt,https://ama.com.pt,Lisboa (morada completa não identificada publicamente na página consultada),Lisboa,Lisboa,,"Perfil: Projetos, construção e reabilitação | Notas: Grupo focado em projetos imobiliários, construção e reabilitação. | Fontes: turn16search0; turn16search1; turn16search4"
WOLF LAND CAPITAL,WOLF LAND CAPITAL,Nao contactado,+351 211 627 777,info@wolf-cap.com,https://wolf-cap.com,"Rua Visconde da Luz, n.º 13, 2.º andar, 2750-415 Cascais",Cascais,Lisboa,,"Perfil: Boutique property developer | Notas: Promotora com atividade em Portugal e Espanha, em residencial e usos mistos. | Fontes: turn12search28; turn12search4; turn12search12"
Kronos Homes Portugal,Kronos Homes Portugal,Nao contactado,+34 637 480 079,hello@kronoshomes.com,https://www.kronoshomes.com/pt/,"Av. da Liberdade, 245, 1250-143 Lisboa",Lisboa,Lisboa,,Perfil: Promotora ibérica residencial | Notas: Promotora com presença em Portugal e Espanha; vários projetos residenciais. | Fontes: turn13search4; turn13search0; turn13search3
Adequatepriority,Adequatepriority,Nao contactado,+351 968 125 858,adequatepriority@icloud.com,,"Rua Luciano Cordeiro, 123, 4E, 1050-139 Lisboa",Lisboa,Lisboa,,Perfil: Promoção e reabilitação imobiliária | Notas: Promotora focada em reabilitação de edifícios em Lisboa. | Fontes: turn5view3
MESMOVALOR,MESMOVALOR,Nao contactado,+351 223 274 626,geral@mesmovalor.pt,https://www.mesmovalor.pt/,"Rua do Pinheiro Manso, 147",Porto,Porto,,Perfil: Promotora imobiliária residencial; segmento médio e médio-alto; empreendimentos no Grande Porto. | Notas: Contato direto publicado no site oficial; empresa apresenta-se como promotora de empreendimentos residenciais. | Fontes: https://www.mesmovalor.pt/contactos ; https://www.mesmovalor.pt/
Lux Premium,Lux Premium,Nao contactado,+351 961 500 272 | +351 938 373 881,luxpremiumlda@gmail.com,https://luxpremium.net/,"Rua Raúl Gomes, 27",Braga,Braga,,Perfil: Promotora imobiliária com portefólio residencial em várias cidades de Portugal. | Notas: Site indica contactos geral e comercial; refere presença de norte a sul do país. | Fontes: https://luxpremium.net/seccao-contactos/ ; https://luxpremium.net/
Imolote,Imolote,Nao contactado,+351 221 155 562,info@imolote.pt,https://www.imolote.pt/,"Rua Alves Redol, n.º 298-C",Porto,Porto,,"Perfil: Promotor imobiliário no Porto; foco em investimento imobiliário e empreendimentos residenciais. | Notas: Empresa destaca co-promoção, engenharia e gestão no mesmo grupo; posicionamento forte no Porto. | Fontes: https://www.imolote.pt/ ; https://www.imolote.pt/sobre"
Imofixa,Imofixa,Nao contactado,+351 919 453 120 | +351 928 064 144 | +351 234 377 120,geral@imofixa.pt,https://imofixa.pt/,"Rua Conselheiro Luís de Magalhães, 64, 5º - F - A/L",Aveiro,Aveiro,,Perfil: Promotor imobiliário com foco em Aveiro e região; apartamentos e moradias em comercialização. | Notas: No site oficial aparecem números móveis; diretórios empresariais apontam sede em Aveiro. | Fontes: https://imofixa.pt/moradias_1.php ; https://imofixa.pt/ ; https://codigopostal.ciberforma.pt/dir/504064525/imofixa-investimentos-imobiliarios-s-a/
ALMA Development,ALMA Development,Nao contactado,+351 21 801 92 49,geral@almadevelopment.pt,https://almadevelopment.pt/,"Avenida Engenheiro Duarte Pacheco, Torre 1, Piso 6, Salas 5 e 6",Lisboa,Lisboa,,Perfil: Promoção e investimento imobiliário em Portugal; escritórios em Lisboa e Porto. | Notas: Site oficial divulga escritório em Lisboa e unidade no Porto; perfil de promoção e investimento. | Fontes: https://almadevelopment.pt/contactos/ ; https://almadevelopment.pt/
Criterion Portugal,Criterion Portugal,Nao contactado,+351 210 998 301 | +351 910 404 540,info@criterionportugal.pt,https://www.criterionportugal.pt/,"Rua Coronel José Núncio, nº 3, Piso 0-B",Linda-a-Velha,Lisboa,,Perfil: Plataforma residencial build-to-sell/build-to-rent em Portugal; foco em desenvolvimento residencial. | Notas: APPII lista contacto corporativo; site oficial destaca contacto comercial/vendas. | Fontes: https://appii.pt/empresas/criterion-portugal/ ; https://www.criterionportugal.pt/pt/contactos/
Eye-On Properties,Eye-On Properties,Nao contactado,+351 935 911 167,geral@eyeonproperties.pt,https://eyeonproperties.pt/,"Via Rota dos Móveis II, 56B",Paredes,Porto,,Perfil: Promotora imobiliária com empreendimentos e gestão de propriedades próprias. | Notas: Contactos completos no site oficial; foco em empreendimentos e gestão de imóveis próprios. | Fontes: https://eyeonproperties.pt/contactos/ ; https://eyeonproperties.pt/sobre-nos/
Grupo Arliz,Grupo Arliz,Nao contactado,+351 253 105 331,geral@arliz.co,https://www.grupoarliz.pt/,"Parque Industrial de Celeirós, Lugar da Talharinha – Vimieiro",Braga,Braga,,"Perfil: Grupo com atividade em construção e promoção imobiliária, além de hotelaria e indústria. | Notas: Promove imóveis em comercialização em várias cidades; contacto corporativo centralizado no grupo. | Fontes: https://www.grupoarliz.pt/contactos/ ; https://www.grupoarliz.pt/"
Plano Inclinado,Plano Inclinado,Nao contactado,+351 225 371 459,geral@plano-inclinado.pt,https://plano-inclinado.pt/,"Rua Joaquim António de Aguiar, 95",Porto,Porto,,Perfil: Promoção imobiliária e reabilitação urbana; projetos no Porto e Vila Nova de Gaia. | Notas: Empresa com forte componente de engenharia e reabilitação; vários projetos próprios. | Fontes: https://plano-inclinado.pt/contactos ; https://plano-inclinado.pt/projetos-imobiliarios
Grupo Empril,Grupo Empril,Nao contactado,+351 223 773 310 | +351 917 520 724,geral@empril.pt,https://www.empril.pt/,"Av. Padre Alves Correia, 141",Vila Nova de Gaia,Porto,,"Perfil: Grupo imobiliário com mediação, promoção e construção de empreendimentos. | Notas: O grupo diz associar mediação, promoção e construção; tem empreendimentos em desenvolvimento. | Fontes: https://www.empril.pt/contactos ; https://www.empril.pt/empreendimentos"
JHOMEA,JHOMEA,Nao contactado,+351 234 093 116 | +351 934 175 642,info@jhomea.pt | comercial@jhomea.pt,https://jhomea.pt/,"Rua Cristóvão Pinho Queimado, n.º 56",Aveiro,Aveiro,,Perfil: Promoção imobiliária e construção; moradias e edifícios; base em Aveiro. | Notas: Site e APPII publicam contactos corporativos; posicionamento em promoção e construção. | Fontes: https://jhomea.pt/ ; https://appii.pt/empresas/jhomea-invest/
Fortera,Fortera,Nao contactado,+351 220 110 929 | +351 919 300 500,info@fortera.pt,https://www.fortera.pt/,"Rua de Rei Ramiro, N.º 870, 5º A",Vila Nova de Gaia,Porto,,"Perfil: Developer e gestora de propriedades; projetos residenciais, hotelaria e mixed-use, sobretudo no Norte. | Notas: Site oficial publica contacto geral e comercial; vários projetos em Gaia, Porto e Espinho. | Fontes: https://www.fortera.pt/portfolio/azul-boutique-hotel/ ; https://vidaimobiliaria.com/empresas/fortera-properties/"
M2O,M2O,Nao contactado,+351 916 897 875,martinho.machado@m2o.pt,https://www.m2o.pt/,N/D publicamente no snippet consultado,Matosinhos,Porto,,"Perfil: Promoção imobiliária com empreendimentos em Matosinhos, Foz e Vila Nova de Gaia. | Notas: Contacto disponível na página de contactos via diretor comercial; site destaca empreendimentos próprios. | Fontes: https://www.m2o.pt/pt/contactos-2/ ; https://www.m2o.pt/pt/universo-m2o/"
Goldenstone,Goldenstone,Nao contactado,+351 967 873 399 | +351 268 881 008,info@goldstone.pt | sales@goldstone.pt,https://goldenstone.pt/,"Vila Viçosa, Portugal",Vila Viçosa,Évora,,"Perfil: Property developer com foco em residencial de luxo, hotelaria e comercial em Portugal. | Notas: Site apresenta-se como property developer em Portugal; contacto divulgado sem morada completa no snippet oficial. | Fontes: https://goldstone.pt/contacts/ ; https://goldenstone.pt/"
